filename	client_id	source_clip	duration_ms	up_votes	down_votes
speaker_001_b06ec2cd8db9.mp3	b06ec2cd8db974047f3129095183ddf42506a20d4024bb6f8f07bba6cab66365cdf8a6607f05ec4aedb7d99c312f6c9633f43677b94a5f1175555b63b2bf71b1	common_voice_en_11.mp3	3192	22765	1111
speaker_002_7eff9a54bdb0.mp3	7eff9a54bdb0619deffda7609d5b8565278e3328de99e63908be2a37c1ad16516240b9c92bc6b68d8130b20dc556f57005dc053f4874a49589f5971a31b97e98	common_voice_en_147930.mp3	5208	20516	1210
speaker_003_7963691c43c8.mp3	7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f	common_voice_en_15903865.mp3	3456	19742	2889
speaker_004_1a0446d48b2f.mp3	1a0446d48b2fe1114209fcb872c1ca88b6eb43d420aeb81255ee4ff9d6e295c56257b7cf2ff2dde3905f1675a0a29c728187cc03b0423d68ddf7fb1539e8f399	common_voice_en_10883708.mp3	4824	8787	324
speaker_005_e790d1a6d652.mp3	e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_en_17287645.mp3	3000	8285	468
speaker_007_70c21ca1cc3d.mp3	70c21ca1cc3de05f3c23b11615cd7d5dd078e03cda0cd46224c802cb358d2bddc9df76042f0f15fe5c3d655d19f20193db107b130128af209e229afabf047b54	common_voice_en_10208626.mp3	3984	5028	267
speaker_008_cc7e6dc77979.mp3	cc7e6dc7797985d7c5d09a8db7f72f5e4ab65de1872d8e3e311560227b0d2bf1ccf82e612b6192616a2af4c76c051dc634cb94928c0bba49d2d5027c96decf1b	common_voice_en_12136940.mp3	4608	4613	177
speaker_011_d1413283d794.mp3	d1413283d794651695ea5c4d311a88e302e13f64719c694e69fffa94701b09086152b973ea7651e30b8e981666bc10252f56a8b37bb15fdf3cf238f0c9a17446	common_voice_en_145067.mp3	3576	3779	141
speaker_012_29b1e5a58d16.mp3	29b1e5a58d1667d4ac45832ec195356598a69f66680877b0d5ee465ce2404c0186affc81ffe4a29df35203fc07a0fc5714c60d914a88aa36d7f84c94dc381d2f	common_voice_en_122569.mp3	4008	3559	116
speaker_014_9db071da66e5.mp3	9db071da66e5b08a2abe0685a5f845403656201988e5785b221c48ed1333f97990248c8b62cede0628fac8a77ce4da5f3369ebcbc964bccfa6105243bccacdef	common_voice_en_16665458.mp3	3672	3179	83
speaker_015_995e028794f8.mp3	995e028794f85b21f12ec5880ae7d8140e8c53b523cad6dcceee552ee4bd39ed59e266c62a70bb57ee2eab0d04acfc7ad71ba2edda18635b1e2f81153c241643	common_voice_en_17276552.mp3	3960	2805	131
speaker_016_fcffb37fddea.mp3	fcffb37fddeaa6cbdda86f7d25e57e69c00d260fc22caae90b91c1b7b818a12e26e77c8ebe42dd53b76031a9662564f17ca23ef8ae743fc3aefc9da6bf182acd	common_voice_en_13714923.mp3	3216	2760	310
speaker_017_11ec372417df.mp3	11ec372417df77b07bb129cc7572637abe768dd9ba9a6cf66c66b5081a6016aa00fb0a31287220448ed090f18b89fb45ff7e35247c32e492909a9d08f7645c84	common_voice_en_1529716.mp3	3024	2361	153
speaker_018_b0dec8b93359.mp3	b0dec8b933595f7b3b31f4f0254dd28f9afe6a413d8deaa03445ee65ac07bd7006f05249de26303cfea40523e5333441973176ee63f978b64152a0523b641941	common_voice_en_161910.mp3	4272	2255	51
speaker_019_53050c1aaaa1.mp3	53050c1aaaa18caffb82af832373b1dccea211eb169def21b6e9b6255602a2810296c7eabb0af07758d70270a3230a7479cb5ba6e9ee71b200e6b00475d8c93f	common_voice_en_1036.mp3	3408	2033	171
speaker_020_5f047713c8bd.mp3	5f047713c8bdb300204b259abe32d12fcf660d9a2cc190b3bb5520d11149e42fa014dd345e5a363027c7e44c54b2855883d1e39562744ed33a43d38d935a0832	common_voice_en_146895.mp3	4848	1935	116
speaker_021_0c003e301f78.mp3	0c003e301f78d458f90900d6edb94a0d518a4c4cb5f58d7d18e619037a643b512b2155a7c95a6c08fd532019c5af0eb2d5bf75daef6c515a1d938dca124432cc	common_voice_en_15903564.mp3	4464	1930	196
speaker_022_008f1e5e50d2.mp3	008f1e5e50d2af1343f74a4f7a841bb49fe5083abd8cb36ed80f1da59223569b2b7b2945f3b885eb6a2d91d0704af7b2e891f0a6f8ffd6bec00832870bf6ca97	common_voice_en_17280441.mp3	4008	1889	195
speaker_023_9d57aeaf822c.mp3	9d57aeaf822cf699a70f18cb334c05f1080d61026ca5846e228240d759ec9883ec9247705b74116fe5ffc25b2d5437ef83b60f3dbb8b601fdd3e5e78bc651e31	common_voice_en_17286902.mp3	3912	1878	27
speaker_024_d461ea23a991.mp3	d461ea23a9911083e42056d655eb2f620786d07c1d8e2d6117061d42e67e12eb9609ba8d23225fef922711e396da8c51db808affac38cf357df85cce0eb5f6c7	common_voice_en_136391.mp3	7464	1845	87
speaker_025_5a5c462b583a.mp3	5a5c462b583ae4198241e19901cfea4cb1f73905969357f9e2dced0fcae858e5441b69a721eefc00b66ca28f666d76c7b0db86da88d68cf727e9da98c50a1fcd	common_voice_en_17279653.mp3	3168	1834	108
speaker_026_a41b49f8d6ee.mp3	a41b49f8d6eeb4e645b0a2bda92ae9eca9b7e1ab97810f77041c7f813463519cf45983f4605f81d12857a23d579b70596d00e8a3a7563aa10d42115fe3a73d47	common_voice_en_15733966.mp3	4056	1753	37
speaker_027_12abacd76d5f.mp3	12abacd76d5f4b07ecd4af0fdec73a72616a0462d22447a97c5c1aac27f8c9e041ff5a49061d5a929f41e5e1c30c8ba8777e8042aa604a1d9f9615cf720dc3c5	common_voice_en_17566629.mp3	4272	1708	84
