filename	client_id	source_clip	duration_ms	up_votes	down_votes
speaker_001_e5689aea6ff3.mp3	e5689aea6ff38ae184913aa9e34c2c69a05252f2fb746cc6ab9d631177dcb286024e2767aaf042b63f3891f6102ea15237aa2325061d02f49789398eec16abf4	common_voice_ja_33298072.mp3	5364	70	0
speaker_002_02a8841a00d7.mp3	02a8841a00d762472a4797b56ee01643e8d9ece5a225f2e91c007ab1f94c49c99e50d19986ff3fefb18190257323f34238828114aa607f84fbe9764ecf5aaeaa	common_voice_ja_27772840.mp3	4680	4	0
speaker_003_7f373ff7d9ea.mp3	7f373ff7d9eaf5a07ddd3e553ae76589aaa9659634a9b1418396a54d676d4039dba837bea0f78f7e0c33fbdf09db73eaa359bf84f222301d006dce32154f01bb	common_voice_ja_37583066.mp3	6624	47	7
speaker_005_a09e35e07333.mp3	a09e35e07333266ae3eb66d9ea6ccec2d57aa53c84398d7439fcafa28f5ef1ff5cab0e3431446a826c49af67f785620082d98eeb759d545fa4bc5988dcd18b8c	common_voice_ja_37646027.mp3	3420	53	2
speaker_006_3447120ac93b.mp3	3447120ac93b7c7788687c259b7f55058804e4982c36174a9a0af762495a6c2310915d2b10562a1f75255d5b0a18eefb304ef7b042006d96d83158f22d238de8	common_voice_ja_26014455.mp3	5616	3	0
speaker_007_69caf5c5275d.mp3	69caf5c5275d703d6712e628466b1ce9da88363d3a1bba880fcb12f7da32b23487f877ddbc0b82f5d345a9133f9ad8da47e00d4ee619bd90aa912e3030704a3a	common_voice_ja_25560368.mp3	5616	3	0
speaker_008_925570fa5738.mp3	925570fa573841df7ebac82ed475a09d7cba8dac0cdc9e886ea1645d760a6b0e1b0160deab74008d79fb2d777288175300ea7d4d84929183cd34a7b49e0a0b21	common_voice_ja_37351747.mp3	6156	54	4
speaker_009_33102318f73b.mp3	33102318f73b281fa69b41da745c852ac574aa80c0ebea128e3cd3f7a760fa8dd0c362586738d8694fa4d699831030cd90ffb14dbbaeaa851b189fcbe0586f77	common_voice_ja_37519222.mp3	7920	34	3
speaker_011_3c9d94093b88.mp3	3c9d94093b88b178118bb3be8de72d64c0423a0b8e32bfd799ce83e1e54249d8552205c1a9407bc11a3a0400d934b0277042caeb24e90b8087a83d884591e5b5	common_voice_ja_25915066.mp3	6012	2	0
speaker_012_14fe5dfafe10.mp3	14fe5dfafe10534da034f133c04ce65515941e03b46cfc89bc155f358a8951f1f438aed1aea7357545d60408998d2c66cf176b1ed73095dd38a656b398de9c2c	common_voice_ja_37542638.mp3	5688	50	5
